input_text,vibe_label,,,,
"Categories: Nightlife, Restaurants, Steakhouses, Bars, American (Traditional) | Review: Eating at High Sierra (at sea level) is like eating at a Denny's with a bar.  Outside of restaurant has no landscaping and the interior is horrible. It looks like amateur decorator failed attempt.  We sat at a booth where half of the table was in glaring 80's track lighting and the other half of the table was in TOTAL darkness!  Really?!  We asked why was the lighting was so bad ? And we needed a different table.  The waitress was perplexed and had to ask a manager for help.  The food was terrible.  Ribs were obviously smoked on premises, yay! But hopelessly dry and over cooked, BBQ sauce too sweet.  Chili was terrible, as was the side salad and garlic bread.  Bacon cheeseburger was good but not special.  Tastes like they are cutting a lot of corners and not cheap as it should be.  Too bad for Goleta.",late_night,,,,
"Categories: Seafood, Restaurants, Fish & Chips, British | Review: Saw this place on DDD and had to give it a try.  I ordered the regular fish and chips, a side of coleslaw, and a cup of clam chowder.  The chowder was different, but good.  It was creamy and had potato, clam, celery, and mushrooms in it.  The coleslaw is made with horseradish, and well, it's different.  Not terrible, but not great either.  The fish is overrated.  Yes, the fish itself is good, but the batter is kinda bland.  After a couple bites, the batter just peels off the fish.  The chips on the other hand were surprisingly good - usually fries are just ok, nothing special, but these were soft and well cooked.  Overall, a decent place for fresh food.",casual_hangout,,,,
"Categories: Restaurants, Mexican | Review: Who gives a donkey shit that some old bag who loved terrines and ugly dresses thought this was the best Mexican food around. 

And honestly the line of food tourists and middle age SB locals outside is quite obscene. Go back to your Costco cookies, frappuccinos and lobster bisque.

Anywho--the handmade tortillas are the kind of foodstuff that people dream about, and each taco creation is spectacularly fresh and unique.  This is unlike any ""tacqueria"" I have ever been to.  

Note--No burritos.  Know what you are going to order before getting to the window inside.  Once inside the menu is directly to the right, and then you only have a minute or so to solidify your choices before ordering.  Don't hold up the line being some hem and haw douche bag.",casual_hangout,,,,
"Categories: Specialty Food, Health Markets, Restaurants, Gluten-Free, Bakeries, Coffee & Tea, Desserts, Breakfast & Brunch, Food | Review: Wow!!!  Stumbled upon this cute bakery while shopping.  Having Celiac is difficult and it's even more difficult to find something sweet and savory that fits my dietary needs.   I got loaves of bread to go and will likely regret not buying more.  While there, I got 1/2 a grilled cheese with turkey and a slice of cake.  My friend got half a Turkey sandwich with pumpkin soup.  She also got a piece of lemon cheesecake to go.  All of it was amazing!!!",family_friendly,,,,
"Categories: Latin American, Restaurants, Mexican, New Mexican Cuisine | Review: Santo Mezcal brings a new and fresh twist on Mexican cuisine from Guadalajara in the Jalisco region with amazing dishes including delicious ceviches including pulpo (grilled octopus), ahi, and halibut; empanadas, interesting and flavorful salads; highly recommended crab enchiladas; chicken moles; and a sublime osso buco; and traditional dishes including tacos and burritos. All of this fantastic food is served amidst a very chic scene replete with all the beautiful people enjoying a full bar with many original craft cocktails! A clean and contemporary build out, attentive staff and amazing location offering the opportunity to stroll on the beach after dinner makes this a must visit!",late_night,,,,
"Categories: Restaurants, Breakfast & Brunch, Sandwiches, American (Traditional) | Review: Came here for breakfast and it hit the spot. The country friend steak was so good and the french toast was yummy as well. The staff so nice check this place out if you are looking for so good simple breakfast.",family_friendly,,,,
"Categories: Food, Ice Cream & Frozen Yogurt, Desserts | Review: This place has some really great ice cream. A great selection of cones and flavors to choose from.  My favorite is the banana salted Carmel ice cream.  Plenty of seating and things to look at.",casual_hangout,,,,
"Categories: Cafes, Restaurants | Review: Seems that there's only one regular that goes to the lounge. People come during random hours of the night",study_spot,,,,
"Categories: Mexican, Restaurants | Review: I was really excited about eating hear after a super Mexican craving! The restaurant was recommended to me by a Santa Barbara native with a discerning palate - especially for Mexican food - and the beautiful twinkling lights and romantic ambiance seemed to secure her review. Unfortunately, I was disappointed. The service was spotty and inattentive - even with a nearly empty restaurant. My margarita was flavorful but WAY too strong. The chips and salsa were meh - not homemade tasting, not corn, and too salty. The enchiladas were decent but not up to the quality I was expecting. It was wonderful to look around and enjoy the scenery and to sit outside on a beautiful night, but I would definitely not go back for the food.",late_night,,,,
"Categories: Seafood, Restaurants, Hawaiian, American (New), Breakfast & Brunch | Review: I was quite disappointed with the food. My husband and I came here for a romantic dinner. The location is stunning. Right next to the beach and views are amazing. I ordered a blood orange margarita and it didn't taste right. I asked them to put some additional triple spec in it and when they brought it back it tasted like water. I didn't even drink half of it. I ordered the ahi tuna with wonton chips off the happy hour menu. The tuna was good but the wonton chips were not crispy at all! Tasted stale. I asked them about it and the waiter said that they are room temperature and that's how they come! We then ordered a brownie sundae. How could you get this wrong? Brown was crunchy and not fudgey and ice cream tasted more like ice milk. My husband got the steak and he said it was ok. I know I won't go back here. Service was a bit slow too.",date_night,,,,
"Categories: Steakhouses, American (Traditional), Desserts, Food, Restaurants | Review: Heard about this place for years but had never tried it until this evening. 
I can't say one negative thing about the service or food. One of the best meals
I have had. Everything from the bread to the main entree was delicious. Their baked potato was the best I have ever had. You even get homemade pie for dessert included with your meal. We will definitely be returning.",upscale,,,,
"Categories: Restaurants, Food, Breakfast & Brunch, Bakeries | Review: Loved this place- during a weekend visit we were tempted to go there again- in fact, we did, and their power was out!  a coupla patrons outside had sad faces.

We didn't try their egg dishes- but the soup, salad, bread were all terrific.  Great ambience- not many tables.  I can see why this is a local favorite.  Super nice staff.",family_friendly,,,,
"Categories: Cuban, Restaurants, Bars, Sandwiches, Nightlife | Review: I stumbled upon this place while I was having a drink at Shaker Mill. They are located in the same building but are two seperate businesses! I've only had cuban food a few times but have never had it in Santa Barbara, so I'm excited to have a new cuisine in town! They are open currently from 4pm-1am so they are open late night which is awesome! From 10pm-1am they have a more limited late night menu but they still have a cuban sandwich and the Plato Mixto on this menu with other sides as well!

I looked over the menu and had no idea what to get. Everything looked so good on the menu it was hard to decide! I ended up going with the Cubano sandwich since I was told that was the most popular. My friend got the Plato Mixto with shrimp and we got a side of the Yucca Fries to share. After we ordered we grabbed our silverware and then headed to a table. They brought the food to us which was super nice!

Our food came very quickly even though they seemed fairly busy. The Cubano sandwich was delicious!!! It was fresh and tasty! The ham and cheese were so good together I loved the sandwich and mustard aioli added a nice kick to it. The Plato Mixto with shrimp that my friend got was huge! It came with yucca fries, a salad, rice and beans. She asked for no beans because she didn't want beans but typically it comes with beans. The Yucca Fries were my favorite part!! They were cooked perfectly soft but sweet and had this creamy aioli to go with them. 

This place was so delicious I love it! I can't wait to come back here soon to try other things on their menu. Once they open for lunch I know I will be coming here all the time. I'm excited to have a Cuban restaurant now on state street! :)",late_night,,,,
"Categories: Donuts, Restaurants, Bakeries, Food, Sandwiches | Review: Anna's Bakery is the best! 
When I get donuts, everyone is excited when they know the donuts come from Anna's. The  donuts are always fresh, taste delicious, and there are never any leftovers!
Also worth noting, are their oatmeal blueberry muffins, raspberry bars, and brownies.
Not only is the service always friendly, but Anna's also gives back to local youth volunteers in our community. You can satisfy your sweet tooth AND feel good about supporting local business who supports us!",late_night,,,,
"Categories: Restaurants, Breakfast & Brunch, American (Traditional), American (New), Southern | Review: This place is absolutely fantastic for breakfast/brunch. Service is great as well. I had the smoked bacon spinach smoked Gouda scramble. Everything very fresh. Was delicious. I highly recommend it.",family_friendly,,,,
"Categories: Restaurants, Ethiopian, French | Review: Went for the preset Sunday menu, and just loved it. Had the perfect evening with wonderful food, wine and service. Was quite well priced for the great food.",casual_hangout,,,,
"Categories: Vegan, Vegetarian, Restaurants, Indian | Review: I ordered the classic chicken curry and garlic naan. The curry is not what you would expect of typical curry. It wasn't thick or creamy, it was thin like broth. I also asked for it to be spicy and it wasn't spicy at all. The kicker for me was that it was very expensive. I paid a little over $20 for lunch. It's okay, but I probably won't be going back.",casual_hangout,,,,
"Categories: Restaurants, Vegetarian, Salad, Coffee & Tea, Tex-Mex, American (Traditional), Burgers, Food, Sandwiches, Mexican, Juice Bars & Smoothies | Review: Yummy food, and always nice to find vegan options on the menu that are tasty! Fresh ingredients, friendly staff and great patio!",late_night,,,,
"Categories: Restaurants, Thai | Review: My friend brought me here as I was visiting her for the weekend. Upon coming, I did not have many high expectations for this place as it is located in SB. I was surprised once I tried the food and the flavors are actually comparable to some thai places located in the LA/OC area. 

We ordered the pineapple fried rice, pad thai combo, and the crying tiger. All the dishes were very good and flavorful. It came in a big portion as well. The only downside was probably with the medium rare steak being a bit too chewy. The sauce that came with it had a weird taste but somehow it worked well with the steak. 

As for the service, everything was very slow paced. We probably waited around 20 minutes to get all our orders. Overall, the food is really good but the service can be better.",casual_hangout,,,,
"Categories: Mexican, Restaurants | Review: Fantastic food, amazing drinks and great service -- That combo
along with reasonable prices will give you a memorable experience.",late_night,,,,
"Categories: Salad, Sandwiches, Restaurants, Pizza | Review: Definitely the worst pizza ordering experience I've had.

First, when I called, I was on hold for probably 5 minutes, if not longer. When they finally picked up I told them I would like a personal pan pepperoni. I wanted the personal because I was staying at a hotel and didn't feel like having leftovers. They told me that my order was less than their delivery charge, and would I like to add anything to the order? I said no, that I'll just pay the delivery charge. Then the guy, rather rudely, told me that I couldn't do that, and that I must add something else to the order. Most pizza places allow you to do this, but apparently this one doesn't. So I reluctantly changed my order to a small pizza.

When it arrived I was discovered they had gotten my order wrong. I had received a thin crust pizza instead of the pan crust which I ordered. The pizza tasted like cardboard with sauce and cheese on it. So disappointed.",casual_hangout,,,,
"Categories: Restaurants, Mexican | Review: Now here is a taco stand that doesn't look like much from the street, and does not have the fanciest of interiors, and has a single restroom that seems to have a small line. But who cares about that! The hand made, home made tortillas and the lovely toppings and tasty salsa bar make this a place that I will come to again and again. It is 8:30 AM and the fact is, I am now salivating and looking forward to lunch today. Guess Where?",late_night,,,,
"Categories: Garage Door Services, Restaurants, Live/Raw Food, Food, Home Services, Mediterranean, Keys & Locksmiths, Burgers, Vegetarian, Juice Bars & Smoothies, Vegan, Salad | Review: Mesa Verde is hands down one of our favorite go-to spots for fresh delicious vegan fare.  Not only is their food locally sourced and delicious, but the staff is beyond welcoming and helpful.  Some of my favorites on the menu: 

The Grilled Flatbread - the caper berries are CLUTCH.  
The Cashew Grilled Cheese Sandwich is BOMB.  
Polenta Fries - YUM
Baklava - Just trust me...

I'm one of those annoying people who constantly re-order the menu items they know and love, so bear with me as we make our way through the menu!",late_night,,,,
"Categories: Restaurants, Mexican, Breakfast & Brunch | Review: Very good Mexican food, my wife and I were very impressed. I got the Chile Relleno burrito with bean and rice. The chili relleno tasted so fresh and had a little crunch so they didn't cook it too long. Wife ordered a chile verde burrito which was very good. Both burritos had plenty of filling and worth the money. We also ordered potato taquitos. You don't see potato taquitos very often at fast food Mexican restaurants. They were very good, plenty of potatoes, seasoned perfectly and you get three to an order.",family_friendly,,,,
"Categories: Modern European, Nightlife, Bars, Restaurants, Bakeries, Wine Bars, Food, Scandinavian, Breakfast & Brunch | Review: We happened upon this place when searching for a place to have a brief business lunch at about 11:00 a.m. on a Tuesday morning.  Some other places were still closed, but we ended up here.  We were informed that they typically didn't serve lunch until around noon, but we were all craving some lunch.  We asked nicely and they went out of their way to talk to the chefs and brought us the lunch menus so we could have our wish.  I was very impressed with the service.

The food was great as well.  We ordered various sandwiches, such as the French Dip and the burger, that were juicy and succulent.  They briefly forgot to bring the juices, or ""au jus,"" for the French Dip sandwich, but it wasn't a big deal.  The portions were perfect, I felt comfortable and satisfied after finishing the meal.  This is a great place with a great location for anyone looking to enjoy a nice meal out on the town.",late_night,,,,
"Categories: Korean, Barbeque, Restaurants | Review: Pretty good for some home cooked authentic Korean BBQ. It did feel a bit rushed with the (who I assume) owner continued to come thru and attempt to cook for us. (which is the point of being there) but we enjoyed our food and the vibe was right outta K TOWN",late_night,,,,
"Categories: Restaurants, Mexican | Review: Visiting in Santa Barbara for the weekend and found this spot on yelp. I always turn to yelp, especially when travelling!! My husband and I tried the Santa Barbara burrito, he thought it was solid..I thought it was okay...Not sure what made it Santa Barbara style..the avocado? The burrito was definitely not traditional or authentic mexican..not exactly what I'm used to..but it was okay...I would have tried something else but they are CASH ONLY!! And I didnt have that much cash on hand. Overall, okay.",late_night,,,,
"Categories: Grocery, Specialty Food, Food, Health Markets, Local Services, Community Service/Non-Profit | Review: Live, laugh, love Co-Op. This store is a gem! The staff is great, the variety is amazing, the produce is wonderful, the prepared foods are delicious. Highly recommend.",casual_hangout,,,,
"Categories: Restaurants, Event Planning & Services, American (Traditional), Venues & Event Spaces | Review: This place is such a time capsule. It has some odd things like they bring you out salsa bread which is sourdough bread with butter and salsa. It kind of reminds me of like a TGIF 30+ years ago and not as corporate?  Crossed with like cheers? Full bar is great, cute booths. Definitely a hidden spot for locals that have been coming for years.",late_night,,,,
"Categories: Burgers, Restaurants | Review: Maybe not the healthiest but man I love a good burger& fries - they've got em!",casual_hangout,,,,
"Categories: Restaurants, Japanese, Ramen | Review: This place is defintely something that I think we needed more variety of in the area. The staff was courteous, the food delicious and the atmosphere was great. 

I had the tonkotsu - black w/ pork belly. I was not disappointed. The pork was tender, the broth had lots of flavor, and the noodles were cooked perfect.

The reason for the 4 stars instead of 5, they have some kinks to work out. It was a little busy and they are really new, so it took them a long time to acknowledge we had walked in. Not a huge deal, but defintely something they will get worked out. Once seated, our food and drink orders were taken promptly, however it took them about 10+ mins to bring over 2 waters. We also had a second waiter come over, after we'd ordered, and asked to take our food and drink order. Great they they were making sure we'd been attended, but not great they weren't sure whom needed assitance (as the table next to us still needed to even have their drink order taken). 

I will defintely return soon and update my review then.",date_night,,,,
"Categories: Restaurants, American (New), Delis, Breakfast & Brunch, Tapas/Small Plates, Cafes | Review: This is still the best restaurant in Santa Barbara!! During this past year we have brought over 80 guests here and EVERYONE has agreed with this description! Never had even a mediocre meal! We never take a chance... Always State&Fig",study_spot,,,,
"Categories: Cocktail Bars, Farmers Market, Tapas Bars, Food, Desserts, Nightlife, Asian Fusion, Restaurants, Tapas/Small Plates, Bars, Indonesian | Review: Great food. Great drinks. Great place..... 
Or was.....
Need to preface that I've been here many times on many occasions including renting out their back patio for my birthday!!! I'm absolutely shocked at the service- or lack there of- from a recent visit. I found myself arguing with a hostess and a waitress about the seating availability (both of which not on the same page) to start. After finally convincing them to seat us (four people, at 7:30 on a Wednesday night) we sat for 20 minutes with ZERO contact from any of the severs. NONE. 
The decision was unanimous at the table to leave and as we did I handed the menus to the server and ""thanked her"". She was oblivious to the entire thing. 
Get your shit together guys. That was embarrassing",late_night,,,,
